epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.152,1.36474,1.84804,1.20608,0.61948,0.52347,0.53503,0.2145,1.88043,1.49186,1.35866,0.0006656,0.0006656,0.0006656
2,205.65,1.37505,1.04102,1.24834,0.67666,0.49863,0.54669,0.23947,1.92337,1.47426,1.44045,0.00129929,0.00129929,0.00129929
3,296.909,1.37892,0.93855,1.25497,0.58031,0.62396,0.49305,0.1976,1.86852,1.72901,1.38869,0.00189999,0.00189999,0.00189999
4,384.974,1.3544,0.89607,1.24367,0.76534,0.51625,0.6178,0.25574,1.86329,1.24091,1.37538,0.0018515,0.0018515,0.0018515
5,471.236,1.31621,0.82851,1.22467,0.77182,0.56318,0.62237,0.26828,1.79837,1.32982,1.38964,0.001802,0.001802,0.001802
6,557.539,1.30663,0.80481,1.22195,0.71463,0.57859,0.62556,0.28076,1.78887,1.15894,1.32818,0.0017525,0.0017525,0.0017525
7,642.972,1.28962,0.76928,1.19773,0.77551,0.58845,0.65764,0.29246,1.78549,1.1782,1.32484,0.001703,0.001703,0.001703
8,728.506,1.29004,0.74708,1.20354,0.72225,0.64773,0.68822,0.31054,1.78302,1.09466,1.33454,0.0016535,0.0016535,0.0016535
9,814.316,1.25878,0.73033,1.17911,0.66559,0.66106,0.67616,0.31243,1.70417,1.1418,1.26218,0.001604,0.001604,0.001604
10,899.154,1.26529,0.72197,1.17713,0.76156,0.68231,0.71917,0.35815,1.64438,1.03207,1.24708,0.0015545,0.0015545,0.0015545
11,984.555,1.23075,0.6934,1.16404,0.71818,0.63177,0.66662,0.323,1.63877,1.02465,1.26083,0.001505,0.001505,0.001505
12,1070.31,1.22638,0.68729,1.16635,0.76931,0.7103,0.736,0.3567,1.68905,1.00989,1.27806,0.0014555,0.0014555,0.0014555
13,1155.83,1.22633,0.67942,1.16072,0.80461,0.70758,0.74739,0.3479,1.71398,0.99618,1.27357,0.001406,0.001406,0.001406
14,1240.96,1.21788,0.66757,1.15488,0.81962,0.73815,0.74618,0.33926,1.69475,0.94638,1.2449,0.0013565,0.0013565,0.0013565
15,1326.26,1.21688,0.65449,1.14822,0.81627,0.63899,0.71573,0.34404,1.6618,1.00591,1.24597,0.001307,0.001307,0.001307
16,1412.66,1.192,0.63892,1.14936,0.82581,0.6787,0.72882,0.36188,1.63215,0.95895,1.23767,0.0012575,0.0012575,0.0012575
17,1499.17,1.19873,0.6333,1.14332,0.81071,0.73285,0.74568,0.36585,1.60844,0.92047,1.24009,0.001208,0.001208,0.001208
18,1587.72,1.18668,0.62532,1.14023,0.79454,0.74368,0.78759,0.38564,1.59366,0.88434,1.23748,0.0011585,0.0011585,0.0011585
19,1676.17,1.17524,0.60996,1.134,0.82952,0.73285,0.77929,0.38442,1.63477,0.86264,1.2159,0.001109,0.001109,0.001109
20,1764.47,1.18616,0.61697,1.13466,0.81265,0.75164,0.79189,0.37171,1.64736,0.8635,1.21445,0.0010595,0.0010595,0.0010595
21,1860.49,1.17847,0.59648,1.13525,0.8334,0.76173,0.79302,0.38697,1.59528,0.84471,1.1939,0.00101,0.00101,0.00101
22,1948.34,1.16863,0.59249,1.13197,0.79756,0.78224,0.78074,0.38034,1.55689,0.85684,1.20238,0.0009605,0.0009605,0.0009605
23,2034.79,1.17014,0.58577,1.12726,0.81058,0.7261,0.75518,0.37989,1.61109,0.85798,1.2394,0.000911,0.000911,0.000911
24,2121.46,1.16539,0.58372,1.12701,0.8551,0.72434,0.78964,0.38758,1.58459,0.83415,1.20816,0.0008615,0.0008615,0.0008615
25,2208.22,1.15299,0.57393,1.12113,0.82394,0.74337,0.78546,0.37727,1.61778,0.85473,1.19647,0.000812,0.000812,0.000812
26,2295.56,1.14067,0.56297,1.11192,0.83148,0.74811,0.76844,0.37954,1.56711,0.84294,1.19562,0.0007625,0.0007625,0.0007625
27,2382.27,1.14483,0.5635,1.11399,0.81099,0.74351,0.78184,0.38997,1.56189,0.85073,1.21508,0.000713,0.000713,0.000713
28,2469.37,1.13829,0.55566,1.10732,0.87126,0.74729,0.82501,0.41577,1.53766,0.79972,1.19168,0.0006635,0.0006635,0.0006635
29,2556.1,1.13817,0.55425,1.1128,0.82235,0.75201,0.79652,0.40987,1.52046,0.80036,1.19302,0.000614,0.000614,0.000614
30,2643.2,1.12425,0.54035,1.11095,0.81254,0.76534,0.79589,0.40267,1.55246,0.79092,1.20251,0.0005645,0.0005645,0.0005645
31,2766.54,1.11335,0.4908,1.12596,0.82609,0.76173,0.79104,0.40136,1.52508,0.78647,1.19376,0.000515,0.000515,0.000515
32,2853.79,1.09391,0.47566,1.12137,0.81312,0.78539,0.81911,0.41074,1.51873,0.78359,1.18016,0.0004655,0.0004655,0.0004655
33,2941.45,1.09705,0.47135,1.12547,0.84752,0.76248,0.80835,0.416,1.51547,0.79177,1.16833,0.000416,0.000416,0.000416
34,3029.63,1.0835,0.46366,1.11215,0.8798,0.76534,0.82143,0.40942,1.548,0.7658,1.17598,0.0003665,0.0003665,0.0003665
35,3116.12,1.07758,0.45154,1.11161,0.86121,0.73923,0.80576,0.41334,1.53481,0.76509,1.17739,0.000317,0.000317,0.000317
36,3203.95,1.06222,0.44642,1.10437,0.86454,0.78339,0.81616,0.41252,1.51804,0.75843,1.16853,0.0002675,0.0002675,0.0002675
37,3292.53,1.06613,0.44488,1.10837,0.85152,0.76606,0.81552,0.41909,1.52352,0.75876,1.17341,0.000218,0.000218,0.000218
38,3378.47,1.05262,0.43667,1.10084,0.87347,0.77978,0.82412,0.41769,1.50288,0.73948,1.17088,0.0001685,0.0001685,0.0001685
39,3465.01,1.05418,0.43139,1.10036,0.87035,0.77551,0.81787,0.42024,1.49605,0.73802,1.16611,0.000119,0.000119,0.000119
40,3550.17,1.03917,0.42865,1.09404,0.88602,0.78577,0.82577,0.41748,1.51441,0.74313,1.1753,6.95e-05,6.95e-05,6.95e-05
